,name,path,msadep,neff_res_med
0,d1ug8a1_native,d1ug8a1_native/d1ug8a1_native.a3m,3034,1702.81621914302
1,d1p41a1_native,d1p41a1_native/d1p41a1_native.a3m,1799,718.4525842062277
2,d1eara2_native,./d1eara2_native.a3m,5288,2856.4782533218886
3,d1j5ya1_native,./d1j5ya1_native.a3m,12331,9551.220648561708
4,d7k5yu_native,./d7k5yu_native.a3m,10397,4547.718183242898
5,d2dk8a1_native,./d2dk8a1_native.a3m,497,267.41237946469096
6,d2ef7a1_native,./d2ef7a1_native.a3m,9731,8520.338046920398
7,d2nzca1_native,./d2nzca1_native.a3m,2684,1762.9902425189189
8,d3r6sa2_native,./d3r6sa2_native.a3m,11804,8543.11429080465
9,d2xlia1_native,./d2xlia1_native.a3m,1650,985.46349738199
10,d1iwga1_native,./d1iwga1_native.a3m,15114,9999.0957930373
11,d2obpa1_native,./d2obpa1_native.a3m,5136,4068.094720810268
12,d1s12a_native,./d1s12a_native.a3m,3544,2637.625901875901
13,d4ixaa_native,./d4ixaa_native.a3m,11195,9064.008872186743
14,d4oo4a_native,./d4oo4a_native.a3m,14345,12100.603362896332
15,d1w4ha_native,./d1w4ha_native.a3m,16417,14416.195919266596
16,d1ctfa_native,./d1ctfa_native.a3m,10963,6946.767322496753
17,d2glia4_native,./d2glia4_native.a3m,16833,13964.074208006889
18,d1kmma1_native,./d1kmma1_native.a3m,7969,6919.0841904264325
19,d6j09a1_native,./d6j09a1_native.a3m,7054,5601.308765055184
20,d2fa8a1_native,./d2fa8a1_native.a3m,9199,4776.070078397579
21,d2ffga1_native,./d2ffga1_native.a3m,587,215.89915320226805
22,d2xmka_native,./d2xmka_native.a3m,10498,8790.994843967514
23,d2coha4_native,./d2coha4_native.a3m,9078,7719.196778270849
24,d1wi9a1_native,./d1wi9a1_native.a3m,2038,565.0290503475529
25,d1wu7a1_native,./d1wu7a1_native.a3m,6290,5584.206746031746
26,d3ldaa1_native,./d3ldaa1_native.a3m,7859,5857.553841533987
27,d1u0sa_native,./d1u0sa_native.a3m,2128,1614.9807262182262
28,d2qn6b_native,./d2qn6b_native.a3m,1030,774.1401154401154
29,d6y24a_native,./d6y24a_native.a3m,9424,6801.783243888545
30,d2p5ma_native,./d2p5ma_native.a3m,6804,5205.058619938937
31,d2p5ka_native,d2p5ka_native/d2p5ka_native.a3m,9960,6677.860296590347
32,d3vkea1_native,d3vkea1_native/d3vkea1_native.a3m,10365,7365.597304960828
33,d6u6sa_native,d6u6sa_native/d6u6sa_native.a3m,5821,2294.790327282687
34,d3h90a2_native,d3h90a2_native/d3h90a2_native.a3m,8827,7479.35204868284
35,d3kcca2_native,d3kcca2_native/d3kcca2_native.a3m,10577,8207.741205439714
36,d2dita1_native,d2dita1_native/d2dita1_native.a3m,7985,5543.958115534628
37,d1ku3a_native,d1ku3a_native/d1ku3a_native.a3m,18031,13744.796998942724
38,d1tuaa1_native,d1tuaa1_native/d1tuaa1_native.a3m,6803,5317.103817525354
39,d3bypa1_native,d3bypa1_native/d3bypa1_native.a3m,8434,7258.168253968253
40,d1rl6a1_native,d1rl6a1_native/d1rl6a1_native.a3m,13806,11628.424176052562
41,d1y81a1_native,d1y81a1_native/d1y81a1_native.a3m,10324,8467.981979907141
42,d6d8ha_native,d6d8ha_native/d6d8ha_native.a3m,469,105.76523066939995
43,d1wh9a1_native,d1wh9a1_native/d1wh9a1_native.a3m,8407,3832.155311688845
44,d1ew4a_native,d1ew4a_native/d1ew4a_native.a3m,6718,4185.712151655966
45,d2cmxa_native,d2cmxa_native/d2cmxa_native.a3m,17,8.0
