pdb_id,model,plddt,delta_to_best
3tzq,2,40.61003831417625,-2.4822222222222265
3tzq,1,32.32478927203065,-10.767471264367828
3tzq,3,25.25528735632184,-17.836973180076637
3tzq,4,43.09226053639848,0.0
3tzq,5,28.725747126436783,-14.366513409961694
6l2l,3,35.33116438356165,-7.054383561643839
6l2l,1,35.417054794520546,-6.968493150684942
6l2l,2,40.46876712328768,-1.9167808219178113
6l2l,5,35.75890410958904,-6.6266438356164485
6l2l,4,42.38554794520549,0.0
1r2z,1,49.051063829787246,0.0
1r2z,4,43.71117021276597,-5.339893617021275
1r2z,3,47.441063829787225,-1.6100000000000207
1r2z,5,45.6509574468085,-3.4001063829787483
1r2z,2,44.37404255319149,-4.6770212765957595
3rlf,1,29.846176470588237,-3.901029411764707
3rlf,3,29.84625,-3.9009558823529424
3rlf,5,28.21044117647059,-5.536764705882355
3rlf,4,33.747205882352944,0.0
3rlf,2,32.04735294117647,-1.6998529411764736
2q22,5,31.08152671755725,-13.027633587786273
2q22,1,36.42381679389313,-7.685343511450391
2q22,3,29.87801526717557,-14.231145038167952
2q22,4,44.10916030534352,0.0
2q22,2,39.15809160305343,-4.951068702290094
2p7j,4,33.787311827956984,-9.164623655913992
2p7j,1,31.511720430107523,-11.440215053763453
2p7j,5,42.951935483870976,0.0
2p7j,2,33.22279569892473,-9.729139784946248
2p7j,3,36.08505376344087,-6.866881720430108
6nkh,4,39.91865900383142,-2.239195402298847
6nkh,5,34.12371647509579,-8.03413793103448
6nkh,1,36.07065134099616,-6.087203065134112
6nkh,2,42.15785440613027,0.0
6nkh,3,36.64812260536399,-5.509731800766282
1qqr,4,47.9027536231884,-13.710942028985528
1qqr,1,45.45811594202899,-16.15557971014494
1qqr,5,48.79311594202898,-12.820579710144948
1qqr,2,40.79014492753623,-20.8235507246377
1qqr,3,61.61369565217393,0.0
1why,5,69.5775,-0.12857142857141923
1why,3,51.15583333333333,-18.550238095238093
1why,4,65.84976190476192,-3.8563095238095
1why,2,69.70607142857142,0.0
1why,1,60.48678571428573,-9.21928571428569
6j5y,4,37.92194805194806,-0.952380952380949
6j5y,5,38.874329004329006,0.0
6j5y,2,37.137619047619054,-1.7367099567099515
6j5y,1,36.194848484848485,-2.6794805194805207
6j5y,3,35.55,-3.324329004329009
3rf1,3,45.24897887323943,-7.466866197183101
3rf1,2,52.71584507042253,0.0
3rf1,1,44.10947183098592,-8.606373239436614
3rf1,5,44.29510563380281,-8.42073943661972
3rf1,4,44.89207746478874,-7.82376760563379
2ba0,4,59.2043137254902,-9.78882352941175
2ba0,1,61.21352941176471,-7.779607843137242
2ba0,5,61.2135294117647,-7.779607843137249
2ba0,2,53.65137254901961,-15.34176470588234
2ba0,3,68.99313725490195,0.0
4c1h,4,37.86819004524887,-3.3130316742081334
4c1h,3,41.18122171945701,0.0
4c1h,5,35.71022624434389,-5.470995475113114
4c1h,2,40.465475113122174,-0.7157466063348323
4c1h,1,35.36113122171946,-5.820090497737546
1xhb,5,32.70198473282443,-14.112061068702282
1xhb,3,45.78557251908397,-1.0284732824427394
1xhb,2,40.001526717557255,-6.812519083969455
1xhb,1,42.45923664122137,-4.3548091603053365
1xhb,4,46.81404580152671,0.0
1p5s,4,43.60861635220126,0.0
1p5s,2,40.72830188679245,-2.8803144654088086
1p5s,3,39.72132075471698,-3.8872955974842824
1p5s,5,37.62125786163522,-5.987358490566038
1p5s,1,41.52874213836478,-2.079874213836483
1pa7,5,47.48469230769231,-2.6354615384615414
1pa7,1,40.47269230769231,-9.647461538461542
1pa7,3,50.120153846153855,0.0
1pa7,4,38.73684615384616,-11.383307692307696
1pa7,2,39.53184615384615,-10.588307692307701
2gtv,1,61.65039603960396,-17.077227722772278
2gtv,5,62.839801980198025,-15.887821782178214
2gtv,4,62.84287128712872,-15.884752475247517
2gtv,3,66.72960396039605,-11.998019801980192
2gtv,2,78.72762376237624,0.0
1wju,4,43.38275862068966,-12.55586206896551
1wju,5,42.89195402298851,-13.04666666666666
1wju,1,55.93862068965517,0.0
1wju,2,44.37574712643678,-11.562873563218389
1wju,3,41.94160919540229,-13.997011494252874
4zyl,1,35.51216783216783,-18.143216783216793
4zyl,5,44.57664335664336,-9.078741258741267
4zyl,2,52.9720979020979,-0.6832867132867264
4zyl,3,34.246433566433566,-19.40895104895106
4zyl,4,53.65538461538463,0.0
1zcz,2,49.08286624203821,-7.435605095541405
1zcz,1,47.25197452229299,-9.266496815286622
1zcz,5,36.72388535031847,-19.794585987261144
1zcz,3,55.21375796178345,-1.3047133757961618
1zcz,4,56.51847133757961,0.0
2o6k,3,50.798428571428566,-14.50014285714284
2o6k,1,49.08242857142858,-16.216142857142827
2o6k,4,50.84471428571429,-14.453857142857117
2o6k,5,50.68342857142857,-14.615142857142835
2o6k,2,65.2985714285714,0.0
2ohw,2,43.878203125,-1.088828124999992
2ohw,4,44.96703124999999,0.0
2ohw,1,30.198125,-14.76890624999999
2ohw,5,34.851484375,-10.115546874999993
2ohw,3,31.402578125,-13.56445312499999
1iq0,4,38.45437837837837,-1.3237567567567652
1iq0,1,34.75837837837838,-5.019756756756756
1iq0,3,32.749162162162165,-7.028972972972973
1iq0,5,38.05083783783783,-1.727297297297305
1iq0,2,39.77813513513514,0.0
5tfq,1,39.90447653429603,-9.717545126353777
5tfq,5,43.27761732851985,-6.344404332129955
5tfq,3,39.62790613718412,-9.994115523465688
5tfq,2,45.40862815884477,-4.213393501805037
5tfq,4,49.62202166064981,0.0
1uoy,1,53.68296875,0.0
1uoy,4,50.0284375,-3.654531249999998
1uoy,5,46.0928125,-7.59015625
1uoy,2,45.013125,-8.669843749999998
1uoy,3,53.057500000000005,-0.625468749999996
4ld8,2,62.699866666666665,0.0
4ld8,3,37.46446666666667,-25.2354
4ld8,4,52.516133333333336,-10.183733333333329
4ld8,5,44.7862,-17.913666666666664
4ld8,1,36.32266666666666,-26.377200000000002
7jv7,4,27.1151768488746,-4.993794212218642
7jv7,5,25.294919614147915,-6.814051446945328
7jv7,2,32.10897106109324,0.0
7jv7,3,26.378199356913186,-5.730771704180057
7jv7,1,27.00614147909968,-5.102829581993564
1x4t,5,51.56873417721519,-5.812151898734179
1x4t,3,56.46037974683546,-0.9205063291139126
1x4t,2,57.34430379746836,-0.03658227848100637
1x4t,1,57.29962025316455,-0.08126582278482175
1x4t,4,57.38088607594937,0.0
1z2a,5,28.15170731707317,-13.2415243902439
1z2a,1,31.67439024390244,-9.71884146341463
1z2a,2,35.787926829268294,-5.605304878048777
1z2a,4,41.39323170731707,0.0
1z2a,3,32.54030487804878,-8.852926829268291
4ogq,4,55.70037735849057,0.0
4ogq,3,44.49427672955975,-11.20610062893082
4ogq,5,50.8003144654088,-4.900062893081767
4ogq,1,47.37207547169812,-8.328301886792453
4ogq,2,52.97817610062892,-2.7222012578616486
6arq,1,48.703963963963965,0.0
6arq,2,33.711711711711715,-14.99225225225225
6arq,3,36.68666666666667,-12.017297297297297
6arq,4,42.636756756756746,-6.067207207207218
6arq,5,46.98387387387388,-1.720090090090082
1ktg,1,38.79328467153285,-3.739124087591236
1ktg,5,38.39562043795621,-4.136788321167877
1ktg,4,41.15970802919709,-1.372700729926997
1ktg,3,42.53240875912409,0.0
1ktg,2,38.81963503649636,-3.7127737226277304
2onk,1,40.919125,-5.187333333333328
2onk,3,42.68925,-3.4172083333333276
2onk,4,46.10645833333333,0.0
2onk,2,41.35966666666666,-4.746791666666667
2onk,5,39.12254166666667,-6.983916666666659
1gku,5,36.96266129032258,-1.4868145161290371
1gku,2,37.25681451612903,-1.192661290322583
1gku,3,35.47725806451613,-2.972217741935488
1gku,4,38.449475806451616,0.0
1gku,1,37.19616935483872,-1.2533064516128931
2yc4,5,32.310050505050505,-14.546212121212115
2yc4,4,37.8649494949495,-8.99131313131312
2yc4,1,31.69792929292929,-15.158333333333328
2yc4,2,46.85626262626262,0.0
2yc4,3,28.875101010101,-17.981161616161618
5jhx,2,37.13673708920188,0.0
5jhx,1,32.2206103286385,-4.91612676056338
5jhx,5,31.458286384976525,-5.678450704225355
5jhx,4,30.339553990610327,-6.797183098591553
5jhx,3,30.76424882629108,-6.3724882629107995
1kv9,4,43.326634615384606,-18.961250000000014
1kv9,3,53.10173076923078,-9.186153846153843
1kv9,2,45.300288461538464,-16.987596153846155
1kv9,5,41.66038461538461,-20.627500000000012
1kv9,1,62.28788461538462,0.0
1xhs,3,54.11610619469027,-1.3892035398230007
1xhs,5,55.50530973451327,0.0
1xhs,2,50.2367256637168,-5.2685840707964715
1xhs,4,38.67929203539824,-16.826017699115027
1xhs,1,43.68902654867257,-11.816283185840696
2yzi,3,41.165454545454544,-9.882348484848485
2yzi,4,38.52606060606061,-12.521742424242419
2yzi,5,37.5669696969697,-13.48083333333333
2yzi,1,51.04780303030303,0.0
2yzi,2,39.96265151515152,-11.085151515151509
1ewf,3,31.082887029288703,-6.875815899581593
1ewf,2,32.34707112970711,-5.6116317991631846
1ewf,1,37.958702928870295,0.0
1ewf,4,34.41242677824268,-3.5462761506276124
1ewf,5,30.225857740585774,-7.7328451882845215
6zmb,1,35.24693467336684,-22.884673366834164
6zmb,3,34.947738693467336,-23.183869346733665
6zmb,2,36.84708542713568,-21.28452261306532
6zmb,4,36.96572864321608,-21.16587939698492
6zmb,5,58.131608040201,0.0
3vzx,5,39.90140969162995,-7.2575330396475835
3vzx,1,42.590308370044056,-4.568634361233478
3vzx,4,47.158942731277534,0.0
3vzx,3,34.65806167400881,-12.500881057268721
3vzx,2,40.89330396475771,-6.265638766519821
6vzd,1,49.05898734177216,-32.28683544303798
6vzd,5,74.44544303797468,-6.900379746835455
6vzd,4,81.34582278481014,0.0
6vzd,3,67.19202531645571,-14.153797468354426
