sid,rmsd_ss,rmsd_msa,plddt_ss,plddt_msa,solubility
97522,,,,,1
198988,,,,,1
58879,,,,,1
44629,,,,,1
93183,,,,,1
166185,,,,,1
180427,,,,,1
25987,,,,,1
205394,,,,,1
236380,,,,,1
108256,,,,,1
94468,,,,,1
170900,17.423229217529297,0.7061700224876404,39.956647646219686,94.4979457917261,1
44993,,,,,1
201494,,,,,1
251830,13.94690990447998,0.8230199813842773,55.97233038348082,93.72333333333334,1
145801,,,,,1
223923,,,,,1
240510,,,,,1
44382,,,,,1
7079,,,,,1
218334,22.036359786987305,22.149730682373047,68.28446341463415,60.163085365853654,1
131198,,,,,1
182120,,,,,1
68514,17.83843994140625,1.6965899467468262,42.53954784437434,80.47495268138802,1
49635,,,,,1
156677,,,,,1
165049,,,,,1
166235,,,,,1
238191,,,,,1
123676,3.787139892578125,0.7087600231170654,77.07622093023257,94.82900000000001,1
11326,,,,,1
238614,,,,,1
52650,,,,,1
184229,,,,,1
158629,,,,,1
110687,,,,,1
47722,,,,,1
44751,5.483799934387207,0.4585599899291992,57.192352048558426,97.20443854324735,1
109567,,,,,1
167923,,,,,1
156233,,,,,1
44965,,,,,1
70968,,,,,1
109998,,,,,1
144309,,,,,1
194973,,,,,1
52203,,,,,1
85060,,,,,1
198780,,,,,1
51665,13.91819953918457,1.1390000581741333,51.64138669673055,95.76470124013528,1
189378,,,,,1
66588,15.208439826965332,1.8798199892044067,42.8115451577802,92.37076169749727,1
81009,,,,,1
80342,,,,,1
84255,,,,,1
126373,,,,,1
187244,,,,,1
162921,,,,,1
101995,6.743720054626465,0.9000399708747864,57.605835411471325,86.7491604322527,1
24964,,,,,1
237375,,,,,1
149737,,,,,1
218157,,,,,1
156195,,,,,1
42657,,,,,1
63540,,,,,1
222859,11.012060165405273,2.975939989089966,67.53422282120395,92.57701707097934,1
86624,,,,,1
222840,15.77715015411377,0.45629000663757324,35.9398566552901,91.38713993174062,1
237602,,,,,1
95109,,,,,1
106828,20.040660858154297,1.7524000406265259,54.43416047548292,79.43864784546805,1
209901,,,,,1
252223,,,,,1
166386,,,,,1
206672,,,,,1
235716,,,,,1
58860,,,,,1
