,prot,filename,plddt,rmsd,wrmsd,type,rmsd_rank,designable,designable_w
10,AF-A0A0H4VDH0-F1,sample_8,41.580909533073935,16.332167469075518,13.892888744156306,AFDB (dark),1.0,0,0
19,AF-A0A5N5WZP5-F1,sample_9,32.07441558441559,11.56962030034788,11.202721641294715,AFDB (dark),1.0,0,0
28,AF-A0A2H1PMM3-F1,sample_2,82.06186490455214,1.0869812519595698,0.3927724021693536,AFDB (dark),1.0,1,1
39,AF-A0A8B2F2F7-F1,sample_2,74.2084055459272,8.105648290684247,3.3636887614680377,AFDB (dark),1.0,0,0
45,AF-A0A4Z0P206-F1,sample_7,84.57567393058919,1.2698871595476355,0.6489142926264956,AFDB (dark),1.0,1,1
55,AF-A0A086PEB7-F1,sample_6,86.6059375,1.2037579424391562,0.8012027330319867,AFDB (dark),1.0,1,1
67,AF-N2BJ85-F1,sample_7,78.50267617449664,2.9526284240098843,1.1191122513997458,AFDB (dark),1.0,0,1
81,AF-A0A2G6MFH7-F1,sample_1,60.146342477140486,5.667098840118866,2.867483259667583,AFDB (dark),1.0,0,0
98,AF-I4BB09-F1,sample_8,81.61860215053764,0.8988958147206713,0.4402486042551313,AFDB (dark),1.0,1,1
99,AF-A0A087ACU3-F1,sample_6,80.58432506887053,0.8752502889537865,0.582961527065718,AFDB (dark),1.0,1,1
115,AF-A0A7C1P3B0-F1,sample_3,80.4428282122905,2.1056665528329743,0.8724029457086476,AFDB (dark),1.0,0,1
122,AF-A0A1J7IGV6-F1,sample_7,73.30106080206986,2.096355589674924,0.9645626039767212,AFDB (dark),1.0,0,1
132,AF-A0A543PLR9-F1,sample_6,89.69587240212664,1.5901569682162606,0.9121059341382296,AFDB (dark),1.0,1,1
146,AF-A0A7V9K534-F1,sample_4,79.01472549019607,1.380882858995767,0.508629711283704,AFDB (dark),1.0,1,1
160,AF-A0A7T0FYN1-F1,sample_3,83.1262458249833,2.6057515017822905,0.573153469994859,AFDB (dark),1.0,0,1
166,AF-A0A7T2WNW7-F1,sample_7,87.19151913875598,1.025111683499595,0.6081907338310176,AFDB (dark),1.0,1,1
176,AF-A0A2D9Q9K7-F1,sample_6,64.21407407407408,5.182580833941755,2.023890510375807,AFDB (dark),1.0,0,0
190,AF-A0A7S9C3N9-F1,sample_4,86.34665490196079,2.171646228047179,1.0289402446684257,AFDB (dark),1.0,0,1
203,AF-A0A0S3TGM8-F1,sample_3,59.17532347504621,9.214880617536128,7.86727172232586,AFDB (dark),1.0,0,0
212,AF-A0A1J1LPV1-F1,sample_4,71.88205955334988,4.491879251398819,3.741580426168302,AFDB (dark),1.0,0,0
229,AF-A0A3A1QYM8-F1,sample_9,79.3726196928636,1.9089213286875228,1.5406519410833757,AFDB (dark),1.0,1,1
238,AF-A0A5E4LVL0-F1,sample_10,77.30140136054422,1.0763696518866497,0.5024884231425872,AFDB (dark),1.0,1,1
248,AF-A0A150LFY0-F1,sample_2,83.85895081967213,2.22960237795409,2.1074577566992594,AFDB (dark),1.0,0,0
256,AF-A0A6I8M9Y5-F1,sample_4,84.10174311926606,0.4867147527267895,0.3463526855231211,AFDB (dark),1.0,1,1
273,AF-A0A517XMN4-F1,sample_9,75.06603235014272,5.206196791906025,0.8980662880438246,AFDB (dark),1.0,0,1
280,AF-R9MST9-F1,sample_3,86.19301612903226,0.8363385479548936,0.2700965583465288,AFDB (dark),1.0,1,1
289,AF-R5A917-F1,sample_4,73.1552561247216,2.7612378438349765,2.462768511728343,AFDB (dark),1.0,0,0
297,AF-A0A1F8GVD6-F1,sample_6,81.92187697160884,0.6251734144023022,0.5197767608176882,AFDB (dark),1.0,1,1
314,AF-A0A5N6LXZ8-F1,sample_2,84.34475304682489,13.294874810382144,0.9205792986591368,AFDB (dark),1.0,0,1
323,AF-A0A660ZTZ3-F1,sample_1,88.69485769416305,1.3284762616500454,0.9158585574154312,AFDB (dark),1.0,1,1
338,AF-A0A1Q3X133-F1,sample_10,80.1989641434263,0.6139254708666503,0.3989897092804642,AFDB (dark),1.0,1,1
341,AF-A0A820H231-F1,sample_6,80.28366482504603,2.8135734235500403,2.3540555838202435,AFDB (dark),1.0,0,0
356,AF-A0A364K958-F1,sample_1,83.3393488824101,1.4430758637093333,0.482244048287961,AFDB (dark),1.0,1,1
367,AF-A0A7U1L639-F1,sample_1,84.916430960344,0.8204822446553919,0.5034008683982067,AFDB (dark),1.0,1,1
376,AF-A0A1G2R3H6-F1,sample_5,55.341973898858086,7.443581290941374,6.763853970631742,AFDB (dark),1.0,0,0
386,AF-W1ED75-F1,sample_7,73.25490238611714,1.15924485172095,0.978226646233754,AFDB (dark),1.0,1,1
400,AF-A0A7U4AQX8-F1,sample_1,66.65917530419107,5.895043887418075,2.714921084576866,AFDB (dark),1.0,0,0
409,AF-A0A328STG2-F1,sample_5,85.23984682713348,0.7184144665778899,0.4925728013585269,AFDB (dark),1.0,1,1
419,AF-R7RTS3-F1,sample_7,84.60654079568442,1.03307823680511,0.980305397932244,AFDB (dark),1.0,1,1
438,AF-A0A661ZGM5-F1,sample_9,85.77573228346456,0.9301246828482308,0.5202482925460539,AFDB (dark),1.0,1,1
442,AF-A0A5C6RVA0-F1,sample_5,72.70099378881989,0.8017353206553981,0.5258031551487523,AFDB (dark),1.0,1,1
456,AF-A0A7Z9KVF6-F1,sample_3,84.55331531531533,0.5527653464241966,0.4824302234083173,AFDB (dark),1.0,1,1
470,AF-A0A399ZHK3-F1,sample_10,82.175664461816,4.080727420932865,1.4788459576211412,AFDB (dark),1.0,0,1
480,AF-A0A1U7J1X0-F1,sample_10,78.84998737373736,2.1942858584326292,1.1573703450504635,AFDB (dark),1.0,0,1
493,AF-A0A7Y7TSA4-F1,sample_9,87.34770080321285,0.4821757180610628,0.3264144613530091,AFDB (dark),1.0,1,1
498,AF-A0A133NLB9-F1,sample_4,74.77036339754817,1.705912171266157,1.1135609424341213,AFDB (dark),1.0,1,1
507,AF-A0A536US91-F1,sample_7,81.52612059158135,1.5372998872674255,0.9077091443209842,AFDB (dark),1.0,1,1
519,AF-A0A7J9Z2U8-F1,sample_5,59.16308510638298,2.5762927501068806,1.911958075953581,AFDB (dark),1.0,0,0
530,AF-A0A1Y2R8X3-F1,sample_5,84.61735008103727,2.339324459321977,0.4829124594855986,AFDB (dark),1.0,0,1
543,AF-A0A722PTS0-F1,sample_1,87.98498786407768,0.3060638505840674,0.2764005129408409,AFDB (dark),1.0,1,1
550,AF-A0A5P9EWD7-F1,sample_6,84.5555896226415,1.112701308925827,0.600578694366886,AFDB (dark),1.0,1,1
564,AF-A0A2N2ELP3-F1,sample_4,44.477108843537415,15.13890336912204,13.402172225793814,AFDB (dark),1.0,0,0
579,AF-A0A4Q0J908-F1,sample_10,44.19565452091767,12.363614546677493,10.316275622281507,AFDB (dark),1.0,0,0
589,AF-A0A1G4PWE1-F1,sample_2,76.97497041420118,6.017564489468945,4.360533500874962,AFDB (dark),1.0,0,0
594,AF-A0A3L9YNP3-F1,sample_6,68.91194587628866,4.612983834656974,1.5532437543861128,AFDB (dark),1.0,0,0
606,AF-A0A0E4FUY7-F1,sample_7,86.84522427440632,1.2510978942827529,0.6196210802947405,AFDB (dark),1.0,1,1
622,AF-A0A1Y6C8A9-F1,sample_2,89.6718711018711,0.4087853843339179,0.3155324273654606,AFDB (dark),1.0,1,1
633,AF-H6R896-F1,sample_2,84.80838137472284,0.4544530141624607,0.4269834143211004,AFDB (dark),1.0,1,1
647,AF-A0A3S1B8P3-F1,sample_9,85.2397862232779,0.4084293626257398,0.3707678709801556,AFDB (dark),1.0,1,1
657,AF-A0A2W0A3A9-F1,sample_10,80.58643302180685,0.9899720434413776,0.3461855377481387,AFDB (dark),1.0,1,1
669,AF-A0A562M2D6-F1,sample_9,73.98437101013894,1.7608534495170811,0.8628654731871476,AFDB (dark),1.0,1,1
675,AF-A0A1H1KFF3-F1,sample_1,53.9493665054135,12.201180769856707,3.615266403269788,AFDB (dark),1.0,0,0
685,AF-A0A239JKA4-F1,sample_4,86.57384952978055,0.7392292117294652,0.6092913577268697,AFDB (dark),1.0,1,1
693,AF-A0A031LSE7-F1,sample_6,72.47574596774194,1.4142668542025396,0.7404252116966827,AFDB (dark),1.0,1,1
713,AF-A0A7K0KL10-F1,sample_9,90.68532435740516,0.3235785858455924,0.2607204154465035,AFDB (dark),1.0,1,1
718,AF-A0A2E9MHB5-F1,sample_4,64.47241725175526,1.814117395333308,1.5499433793911463,AFDB (dark),1.0,0,0
726,AF-H1GAS7-F1,sample_6,74.52698198198199,1.2035018696806683,0.6068530516214407,AFDB (dark),1.0,1,1
738,AF-A0A559KCK2-F1,sample_7,86.05989202657805,0.5829669585972925,0.3594126995075405,AFDB (dark),1.0,1,1
751,AF-A0A2V8RQP0-F1,sample_5,75.28361525704808,0.9895211001185475,0.4930745816444757,AFDB (dark),1.0,1,1
769,AF-A0A1H1JUK4-F1,sample_8,87.49927768860354,0.3946707374517795,0.3245297292531197,AFDB (dark),1.0,1,1
773,AF-A0A3A4VAS3-F1,sample_4,81.11153354632587,0.8731735382234013,0.6881527123064868,AFDB (dark),1.0,1,1
790,AF-A0A1Q3VDJ5-F1,sample_9,77.65383392226148,1.660190729362454,0.4771738997891445,AFDB (dark),1.0,1,1
794,AF-A0A169ZKP7-F1,sample_5,83.92030106257378,1.951635084117812,1.7175351565573655,AFDB (dark),1.0,1,1
812,AF-A0A7X7WBK1-F1,sample_9,71.26621770436255,1.5465110941013942,0.7886912141138342,AFDB (dark),1.0,1,1
818,AF-A0A373D8F6-F1,sample_1,57.90149446494465,1.4207624429805426,1.0774210680351874,AFDB (dark),1.0,0,0
833,AF-A0A1T4WLX7-F1,sample_10,90.0837149817296,5.417659313609835,2.2089793745397697,AFDB (dark),1.0,0,0
846,AF-A0A6N0YHH4-F1,sample_8,60.151012190616925,11.26553198495451,6.87677885925784,AFDB (dark),1.0,0,0
851,AF-A0A3L7XQ57-F1,sample_1,83.2168465909091,1.2909388047805042,0.6763077930297626,AFDB (dark),1.0,1,1
867,AF-A0A2V8EE32-F1,sample_9,67.43086198991288,3.876276662621508,3.1513166151756664,AFDB (dark),1.0,0,0
869,AF-A0A501WVJ1-F1,sample_6,86.18738709677419,1.887820148827295,0.5169503944363448,AFDB (dark),1.0,1,1
889,AF-A0A5J5GD86-F1,sample_9,86.33468330134356,0.8069013675770038,0.372731909210618,AFDB (dark),1.0,1,1
893,AF-A0A7W8NYE0-F1,sample_5,77.46460606060606,2.4433943796747735,1.0885535740500925,AFDB (dark),1.0,0,1
910,AF-J9UCS9-F1,sample_10,83.5370931174089,0.6667167019522536,0.5680302075192231,AFDB (dark),1.0,1,1
919,AF-A0A1M5UGN3-F1,sample_2,91.95213973799126,0.8038777447247458,0.6226766095232235,AFDB (dark),1.0,1,1
929,AF-A0A5J6GB72-F1,sample_3,65.23467460317461,5.382999612703863,3.1379063054335097,AFDB (dark),1.0,0,0
941,AF-A0A2H9U823-F1,sample_2,79.4079300499643,1.3231571596214498,1.0273678724660422,AFDB (dark),1.0,1,1
947,AF-A0A520LLU3-F1,sample_7,91.92341719077568,0.2478546556734388,0.16843118513067,AFDB (dark),1.0,1,1
962,AF-A0A6G9YC89-F1,sample_3,82.92894302229563,0.9841673355419788,0.8246304740448533,AFDB (dark),1.0,1,1
971,AF-A0A843FHN5-F1,sample_5,65.53031372549019,5.753239963047952,2.2541040484165484,AFDB (dark),1.0,0,0
983,AF-A0A7W6CM68-F1,sample_1,74.6279652917505,12.9410384983169,11.218939292581016,AFDB (dark),1.0,0,0
991,AF-A0A1M6UYQ7-F1,sample_7,83.70563571428572,0.8490906928579607,0.5207480901324847,AFDB (dark),1.0,1,1
