,prot,filename,plddt,rmsd,rmsd_m,wrmsd,designable,designable_w,designable_m,designable_w_m,rmsd_sheba,designable_sheba,rmsd_sheba_m,designable_sheba_m,rmsd_tm_m,designable_tm_m,rmsd_tm,designable_tm,rmsd_mout,designable_rmsd_out_m,rmsd_out,designable_rmsd_out
1577,AF-A0A2Z6I6U9-att,sample_5,86.32195242814669,0.5665358472008212,0.4832707848776277,0.5573558887735395,True,True,True,True,0.5665015164950205,True,0.4627203822328278,True,0.470542103177605,True,0.6246890046850057,True,0.4206068069547699,True,0.4206068069547699,True
6636,AF-O66683-att,sample_4,73.55519417475728,15.318070127719858,12.837240680381722,15.216545965531886,False,False,False,False,20.736607161641928,False,15.999220053855533,False,27.098711728367427,False,28.186285247632405,False,12.53167460328712,False,12.53167460328712,False
6896,AF-P10762-att,sample_5,85.0907456140351,0.8094274188691465,0.6469099148791199,0.7708881958352392,True,True,True,True,0.8049163906193472,True,0.5983640813837999,True,0.5838288513934209,True,0.7948693554939392,True,0.6049303397252938,True,0.6049303397252938,True
7664,AF-A0A1A9TAD0-att,sample_3,85.99297313797314,0.4379090058817971,0.3378161299420959,0.4308994155463116,True,True,True,True,0.437867079989881,True,0.3301720943418745,True,0.3388456089819122,True,0.437869127364392,True,0.3058045232901462,True,0.3058045232901462,True
8052,AF-Q15185-att,sample_3,86.44718325791855,0.4429592226215058,0.3539372286451454,0.4391459664528956,True,True,True,True,0.4429775974080407,True,0.3328870494888469,True,0.3475310174726277,True,0.4989171072476822,True,0.2969645406911275,True,0.2969645406911275,True
4301,AF-P18754-att,sample_8,87.23745436105476,0.8493521907723611,0.5069834234968489,0.8388372551133351,True,True,True,True,0.8506598410278143,True,0.5103168068802368,True,0.5369847031934329,True,0.8756836208895091,True,0.4439465941937449,True,0.4439465941937449,True
7482,AF-P04067-att,sample_4,90.9389975062344,0.4439059980119243,0.4092782365860177,0.4435824059401498,True,True,True,True,0.4438737611733486,True,0.3530315382163753,True,0.3517830021447042,True,0.459698785124188,True,0.3197972819157417,True,0.3197972819157417,True
1453,AF-A0R4Z8-att,sample_1,86.96916975145426,0.6630132247072033,0.4280734285990847,0.6246750029020691,True,True,True,True,0.6373331727591375,True,0.3896178148626907,True,0.4152704270736969,True,0.654296103860725,True,0.3665957716141185,True,0.3665957716141185,True
6681,AF-Q8II92-att,sample_4,79.04206703910614,1.4253327639632498,0.9748690283724194,1.244262374672816,True,True,True,True,1.357977251849572,True,0.7947855711136517,True,1.062619026840344,True,1.6761794079542125,True,0.864979551392517,True,0.864979551392517,True
7793,AF-Q27709-att,sample_8,83.49682572614108,1.011305534523547,0.7980610419496763,0.981813113852223,True,True,True,True,1.005102161919641,True,0.7780047218997552,True,0.795248700226242,True,1.0273064295901269,True,0.7024462754721584,True,0.7024462754721584,True
8318,AF-Q9LHN8-att,sample_5,85.08559283263439,0.5904539209327132,0.3958779873796059,0.5701096631499075,True,True,True,True,0.5729933890318502,True,0.387021656676577,True,0.4005418638103045,True,0.5759533719790981,True,0.3422609976146764,True,0.3422609976146764,True
4197,AF-P19099-att,sample_4,86.52125137816978,0.7231016790381959,0.5307219421315552,0.7214446182957419,True,True,True,True,0.7182649238757592,True,0.5152727178804792,True,0.5247728198239356,True,0.7221537673588538,True,0.4915167187951805,True,0.4915167187951805,True
1373,AF-P9WIL5-att,sample_3,87.37936060178654,0.5191031496819414,0.4401254726152911,0.5169484139482765,True,True,True,True,0.5190888045343081,True,0.4403494812739324,True,0.4403500956477899,True,0.5190924186361154,True,0.413702648800239,True,0.413702648800239,True
716,AF-O28191-att,sample_3,76.35539738430583,2.1988989989634473,1.5692907261468203,2.1317379458817634,False,False,True,True,2.1018807615587645,False,0.9447235060739751,True,1.399584453194774,True,3.149868231884886,False,0.8337485623882888,True,0.8337485623882888,True
324,AF-P62317-att,sample_6,82.9855347593583,0.9770486706461704,0.8660577004491147,0.9305131299068096,True,True,True,True,0.9770359033553608,True,0.6249884302090996,True,0.8022749166668772,True,0.9613962268975096,True,0.68546962899051,True,0.68546962899051,True
6996,AF-A0A2D2D5X7-att,sample_4,71.70762162162161,5.72442983844611,3.308367834039534,5.197993699874344,False,False,False,False,6.061018955718343,False,3.025580553232514,False,5.564351117801237,False,7.780444820752025,False,2.9589033657939163,False,2.9589033657939163,False
5891,AF-P41159-att,sample_1,82.04189003436426,0.6352759847103316,0.475309122262664,0.6323643204021804,True,True,True,True,0.6347117770139867,True,0.4753131689717957,True,0.4908571364547843,True,0.6383652648835021,True,0.420513126975059,True,0.420513126975059,True
1698,AF-Q6QT42-att,sample_2,85.86846249610956,0.7105256346297008,0.4851409924218438,0.6989299074402222,True,True,True,True,0.7039746291916213,True,0.4661912488757446,True,0.4692914939684301,True,0.7059719556076768,True,0.403195524821862,True,0.403195524821862,True
1486,AF-P23946-att,sample_7,90.1885108887581,0.3919731342230677,0.3349965696799468,0.3882246822580028,True,True,True,True,0.3915648886193206,True,0.3270185509003017,True,0.3270280571985234,True,0.3941997791191775,True,0.291596099151261,True,0.291596099151261,True
7071,AF-C0SUJ9-att,sample_2,96.21544399596368,0.54610196572133,0.4640365211186378,0.5418983397114429,True,True,True,True,0.5461105004128439,True,0.4410763418170992,True,0.4350441568296096,True,0.5498272604146907,True,0.3999317569747537,True,0.3999317569747537,True
7297,AF-Q8P6Z9-att,sample_2,86.2093625498008,0.7909844680145244,0.4792650238722241,0.763335312806063,True,True,True,True,0.7773506800001787,True,0.455357191963807,True,0.4815700504191784,True,0.794242762537016,True,0.4174608374085335,True,0.4174608374085335,True
5917,AF-P24058-att,sample_4,88.72451307095663,0.8535910956162416,0.7338377912956106,0.8435481504531827,True,True,True,True,0.8428541702234518,True,0.7138794564986646,True,0.7297398431806913,True,0.8488543318644424,True,0.714356618415913,True,0.714356618415913,True
6762,AF-Q6UV28-att,sample_4,88.47830051813472,0.4269359026227527,0.3842629064942507,0.4251831652404344,True,True,True,True,0.4269511685162708,True,0.3839972988149991,True,0.3839865324338407,True,0.4269517106363285,True,0.3649506843848635,True,0.3649506843848635,True
319,AF-O34974-att,sample_1,88.17417313432836,1.1743404284348873,0.8508174949781229,1.1581034133680417,True,True,True,True,1.1749159759518657,True,0.8515271946915989,True,0.8360996188417508,True,1.1845562506974594,True,0.6947055078403955,True,0.6947055078403955,True
2619,AF-Q742X5-att,sample_6,87.7927634194831,0.6874988362063874,0.4366682588053746,0.6696187431606339,True,True,True,True,0.6719867214247257,True,0.4067435904752662,True,0.4230231298373744,True,0.6849606857695802,True,0.3954081062203058,True,0.3954081062203058,True
2931,AF-Q799U3-att,sample_2,76.89325809617273,2.525547720822971,2.208755142519255,2.4002042530718786,False,False,False,True,2.5632238197716077,False,2.0326208104347803,False,2.814793930178536,False,3.044500911209524,False,2.0885971656454068,False,2.0885971656454068,False
6987,AF-P14061-att,sample_4,89.80010449795547,0.4503509706453054,0.3587156667614239,0.4501345045761107,True,True,True,True,0.4503406581626765,True,0.3586829787691317,True,0.3573483574465707,True,0.4502613182736146,True,0.3332384365801371,True,0.3332384365801371,True
3339,AF-B4EFL1-att,sample_6,88.96113151152859,0.4500533492559759,0.3487274071264046,0.4498101486871163,True,True,True,True,0.4497135221860326,True,0.3493748928106305,True,0.3504415369235956,True,0.4498527983854712,True,0.3208944758312056,True,0.3208944758312056,True
8289,AF-Q9U9J6-att,sample_6,85.74029157667385,0.5208425479291934,0.4790394149327111,0.5209872702270814,True,True,True,True,0.5208175345005995,True,0.4791011243540145,True,0.4790906019502902,True,0.5208200869226135,True,0.4487822840213684,True,0.4487822840213684,True
8475,AF-Q8KX15-att,sample_2,89.41598746081503,0.2905812369924103,0.2526749595943636,0.2879562727880019,True,True,True,True,0.2905590565950004,True,0.2458904287885473,True,0.2458489454249683,True,0.3161528155549911,True,0.2141726417470094,True,0.2141726417470094,True
1298,AF-A7VL37-att,sample_5,91.94977900552485,0.4386476185922268,0.3963886508272267,0.4364884983705892,True,True,True,True,0.4386962582702655,True,0.3806159141492612,True,0.3842604925219082,True,0.4858925801198289,True,0.3530748199623331,True,0.3530748199623331,True
2488,AF-Q8TPV5-att,sample_1,91.22285055350554,0.2487925406423289,0.2268057484146873,0.2484028703936484,True,True,True,True,0.248803312767522,True,0.2203569251100998,True,0.2203326839825192,True,0.2629912755464526,True,0.1986380872220982,True,0.1986380872220982,True
2675,AF-P35833-att,sample_5,86.50583527583527,0.5439529405325048,0.4130839772998171,0.5403449338283748,True,True,True,True,0.5439488316687816,True,0.4133851934995505,True,0.4133826919100275,True,0.5439505642325306,True,0.3625323185205418,True,0.3625323185205418,True
6228,AF-Q57329-att,sample_6,86.88316842105264,0.5407010553015478,0.4484858354107373,0.532489798157525,True,True,True,True,0.5392849009747556,True,0.4516798087303859,True,0.451356555569422,True,0.563800173522632,True,0.4016405679569499,True,0.4016405679569499,True
7708,AF-P07803-att,sample_1,81.68881053525914,0.6197636492334588,0.4792647427783258,0.611475496700498,True,True,True,True,0.6197691484556063,True,0.4792406684154909,True,0.4712619534027015,True,0.6186642283519413,True,0.4513572646690074,True,0.4513572646690074,True
2862,AF-Q5WDL1-att,sample_6,90.1136816362828,0.4740843863036883,0.3958866979562103,0.4745527607769539,True,True,True,True,0.4751508495884959,True,0.407399192631009,True,0.4038260702975456,True,0.476150478315675,True,0.3540031509423184,True,0.3540031509423184,True
2978,AF-Q9HKE7-att,sample_8,90.29020743919884,0.325755760488448,0.2946043747874467,0.325098718766772,True,True,True,True,0.3257486329298847,True,0.2819900232669938,True,0.2819806520661528,True,0.3312605141704882,True,0.2580276926122365,True,0.2580276926122365,True
1669,AF-A0JVA7-att,sample_1,88.90122891566266,0.7771440672897489,0.5587892161623982,0.6940631449895528,True,True,True,True,0.7254270844203852,True,0.5065506779739277,True,0.5442438600694351,True,0.7697431737614173,True,0.5225851580120202,True,0.5225851580120202,True
4771,AF-P35812-att,sample_7,87.90318114874815,0.5145109164271473,0.352473231092739,0.4986489589140528,True,True,True,True,0.5073998518623946,True,0.3470327121096801,True,0.3658149525609285,True,0.5249658458007377,True,0.301229209891901,True,0.301229209891901,True
4286,AF-Q9RVD6-att,sample_5,87.58732744783306,0.508466035387018,0.4452534785398225,0.5080084909906081,True,True,True,True,0.5084646756188161,True,0.4240569552208553,True,0.4289305485399836,True,0.5672450837880083,True,0.396799115218917,True,0.396799115218917,True
7113,AF-P12996-att,sample_4,86.97156054931337,0.456336670077602,0.3538275360110494,0.4524713827019267,True,True,True,True,0.4559235073220421,True,0.328379465954135,True,0.335392132205207,True,0.4902960239759343,True,0.3012847655332898,True,0.3012847655332898,True
3037,AF-O51633-att,sample_1,88.74918138041734,0.5353960594588179,0.4687906100642103,0.5280698371841605,True,True,True,True,0.535418770300344,True,0.4594049093017198,True,0.4460927520855499,True,0.5599395140606432,True,0.436513612838481,True,0.436513612838481,True
4135,AF-O14368-att,sample_4,80.03819444444444,1.1875711049767983,0.8199897237005996,1.0225462672955823,True,True,True,True,1.1755208372596078,True,0.7453047583341683,True,0.8249770261085468,True,1.252954312007868,True,0.7300204691196215,True,0.7300204691196215,True
679,AF-Q5FQJ0-att,sample_1,85.27710391149742,0.590512930643357,0.4911810274615241,0.5864409868185058,True,True,True,True,0.5885474735094993,True,0.4913501874153824,True,0.490852058036786,True,0.5905864933308816,True,0.4621207332324607,True,0.4621207332324607,True
2716,AF-Q2V0H0-att,sample_8,92.84216261061944,0.347114330008181,0.2858677524582866,0.3453421570520792,True,True,True,True,0.3471238176827246,True,0.2857731238686151,True,0.285776014341565,True,0.347125510340483,True,0.2475832164746141,True,0.2475832164746141,True
2983,AF-P81238-att,sample_1,91.82917085427134,0.5203192165272055,0.4341424915618174,0.5198415375761292,True,True,True,True,0.5203339590234229,True,0.3777256032882413,True,0.4150495854908605,True,0.6428419577562122,True,0.3289814826440369,True,0.3289814826440369,True
6277,AF-P13543-att,sample_1,81.48521472392639,2.0318469077876444,1.7478204011405862,1.9935040281960463,False,True,True,True,2.013875843580209,False,1.6487561819641194,True,1.7462066686137407,True,2.122622398474993,False,1.5811209498092464,True,1.5811209498092464,True
7369,AF-P9WGM3-att,sample_2,86.20718646317187,0.3860623253896307,0.3550755342209666,0.3835611738415264,True,True,True,True,0.3860975642793686,True,0.3554864451583691,True,0.3554780848104477,True,0.3860968244749413,True,0.335782629377966,True,0.335782629377966,True
7518,AF-Q2TWF5-att,sample_4,86.75446004319654,0.6818646569137788,0.5190259777958737,0.6750539806100763,True,True,True,True,0.6782688154031284,True,0.4866655134634157,True,0.4952629176062698,True,0.6707728257130547,True,0.4677657766102526,True,0.4677657766102526,True
8365,AF-Q6IV62-att,sample_1,83.24678156467854,2.778695427392888,1.6751133941230891,2.243252041166129,False,False,True,True,2.5458881322346274,False,1.1507790373197588,True,2.0196058574038704,False,3.184210767510703,False,1.4628959703076996,True,1.4628959703076996,True
5478,AF-Q8IB14-att,sample_2,87.236071964018,1.027662154014437,0.7506464063525256,0.9856473088895842,True,True,True,True,1.0111868947947324,True,0.6679401195236665,True,0.7253959454679602,True,1.0761790265619915,True,0.6546106066973458,True,0.6546106066973458,True
8567,AF-Q8WSF8-att,sample_8,89.51943762120233,0.4940929004576558,0.4207399418062224,0.4919179056750522,True,True,True,True,0.4941343981022643,True,0.391777960626918,True,0.4001847518925923,True,0.5202457664787447,True,0.3582684853777056,True,0.3582684853777056,True
5307,AF-Q9SWE5-att,sample_2,90.00637085137085,0.406480858519979,0.3271369010611724,0.4059902103291222,True,True,True,True,0.406462707922991,True,0.3273188054906594,True,0.3273430596579627,True,0.4064633130084176,True,0.3054607460760921,True,0.3054607460760921,True
5177,AF-Q9LNF2-att,sample_5,91.0024813432836,0.490188965775523,0.3832801098206994,0.4871388603380482,True,True,True,True,0.490171890669726,True,0.3833348558530826,True,0.3802441112249805,True,0.4899430774624911,True,0.3552960723502855,True,0.3552960723502855,True
2433,AF-A0A1K1L6W4-att,sample_4,90.01941634241244,0.4901938385220237,0.3976857348699287,0.4866826124181231,True,True,True,True,0.4880872243868872,True,0.3926927614920124,True,0.3926898518629468,True,0.4880868430522555,True,0.3595679277390529,True,0.3595679277390529,True
2452,AF-P05113-att,sample_1,58.19454332552693,9.7401884558424,5.5991155547995,9.216227508584726,False,False,False,False,9.46491626035616,False,5.4009808932813215,False,6.76606299512658,False,10.349871612987842,False,4.895115832539105,False,4.895115832539105,False
2209,AF-O59425-att,sample_1,85.85692528735632,0.58597653819603,0.3049433542202516,0.591735264463286,True,True,True,True,0.597069499352732,True,0.3230643782336365,True,0.295529564525436,True,0.6009067766444349,True,0.2543873310424182,True,0.2543873310424182,True
