,path,plddt
0,foldit_recycles/recyc_48/colab/2003245_S385_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,86.01
1,foldit_recycles/recyc_48/colab/2002089_0001_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,66.95
2,foldit_recycles/recyc_48/colab/2003414_1018_unrelaxed_rank_002_alphafold2_ptm_model_5_seed_000.pdb,85.14
3,foldit_recycles/recyc_48/colab/2003265_S714_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,80.52
4,foldit_recycles/recyc_48/colab/2000518_0003_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,83.68
5,foldit_recycles/recyc_48/colab/2003382_0009_unrelaxed_rank_002_alphafold2_ptm_model_4_seed_000.pdb,63.76
6,foldit_recycles/recyc_48/colab/2002290_S122_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,83.73
7,foldit_recycles/recyc_48/colab/2002334_0005_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,83.22
8,foldit_recycles/recyc_48/colab/997791_1027_unrelaxed_rank_003_alphafold2_ptm_model_1_seed_000.pdb,89.14
9,foldit_recycles/recyc_48/colab/2002766_0003_unrelaxed_rank_001_alphafold2_ptm_model_3_seed_000.pdb,86.47
10,foldit_recycles/recyc_48/colab/2003333_0000_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,87.59
11,foldit_recycles/recyc_48/colab/2002990_1031_unrelaxed_rank_005_alphafold2_ptm_model_2_seed_000.pdb,77.34
12,foldit_recycles/recyc_48/colab/2003205_1035_unrelaxed_rank_002_alphafold2_ptm_model_2_seed_000.pdb,78.84
13,foldit_recycles/recyc_48/colab/2002613_0004_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,80.66
14,foldit_recycles/recyc_48/colab/2002766_0002_unrelaxed_rank_002_alphafold2_ptm_model_3_seed_000.pdb,86.93
15,foldit_recycles/recyc_48/colab/2003532_0000_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,85.32
16,foldit_recycles/recyc_48/colab/2002766_0001_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,90.56
17,foldit_recycles/recyc_48/colab/2003532_1022_unrelaxed_rank_005_alphafold2_ptm_model_4_seed_000.pdb,74.47
