,prot,filename,plddt,rmsd,wrmsd,incl,pct_helixWT,pct_strandWT,pct_coilWT,length,type,rmsd_rank,designable,designable_w
3,d1dusa,sample_3,89.23339333333332,0.606035872473649,0.3008819836963098,0.9278350515463918,59,63,72,194,PDB,1.0,1,1
20,d1twfl,sample_2,68.81301408450705,1.9999310349994908,1.1404792403240047,0.8913043478260869,0,5,41,46,PDB,1.0,0,0
24,d2asba2,sample_1,87.43608996539793,0.5512599570406762,0.3731401813030849,0.9113924050632912,33,23,23,79,PDB,1.0,1,1
40,d3oida1,sample_6,90.25103711790396,0.4400951343418077,0.3534256632572065,0.939516129032258,125,41,82,248,PDB,1.0,1,1
53,d1f9ma,sample_2,88.32702394526797,0.4041714730393793,0.3278312631833735,0.9642857142857144,41,29,42,112,PDB,1.0,1,1
58,d2fr1a2,sample_4,83.65589861751153,0.8585784096419956,0.5441863729467116,0.8995215311004785,69,50,90,209,PDB,1.0,1,1
67,d3besl,sample_1,64.8180925401322,5.9764520926462295,3.098622617975752,0.9172932330827068,90,0,43,133,PDB,1.0,0,0
77,d5l19a,sample_7,85.3362635529608,0.9015725332736074,0.4292825214876414,0.8466666666666667,9,73,68,150,PDB,1.0,1,1
88,d2g7la1,sample_7,85.65446850393701,1.0936639785753308,0.3220708415190884,0.8529411764705882,38,0,30,68,PDB,1.0,1,1
100,d3nfwa,sample_1,80.01873571428571,3.0149127487763825,0.8377307873470448,0.905027932960894,37,71,71,179,PDB,1.0,0,1
115,d2nn6g3,sample_9,66.90295774647888,0.9854200217220423,0.8868244721250322,0.9875,35,10,35,80,PDB,1.0,0,0
124,d3q0wa2,sample_3,83.80328678839957,1.0324919295059525,0.5150109627951889,0.9333333333333332,92,0,28,120,PDB,1.0,1,1
135,d2yrba1,sample_3,77.58613240418119,1.4868999646782062,1.3235631703293251,0.951048951048951,20,62,61,143,PDB,1.0,1,1
148,d3dhoa,sample_8,73.12408227848101,3.706876756624981,1.1745465718083077,0.8768472906403941,54,44,105,203,PDB,1.0,0,1
159,d1dnpa2,sample_9,85.1312356687898,0.8148574925090618,0.6598452389380367,0.95,73,28,99,200,PDB,1.0,1,1
175,d1wx8a1,sample_5,83.90152801358234,1.3891967307413968,0.5670231023811834,0.9156626506024096,15,24,44,83,PDB,1.0,1,1
182,d2dmqa1,sample_6,79.87426287744226,2.158918527227311,1.1059668413276893,0.8955223880597015,43,0,24,67,PDB,1.0,0,1
189,d3gnja1,sample_4,89.36307604994325,0.3711187338398624,0.2899277226384054,0.9537037037037036,45,27,36,108,PDB,1.0,1,1
200,d6c1za1,sample_4,88.15979853479854,0.4270111041135846,0.3359206501664869,0.9124087591240876,21,74,42,137,PDB,1.0,1,1
217,d2o55a,sample_10,87.46578450844092,0.6575853170934142,0.548890123279526,0.9133858267716536,86,51,117,254,PDB,1.0,1,1
228,d4bcda2,sample_10,87.43393870082343,0.555367735518688,0.4410138656509755,0.9321428571428572,114,51,115,280,PDB,1.0,1,1
231,d3aysa,sample_7,89.17508928571428,0.6235234998203426,0.4584347937073953,0.9215686274509804,139,45,173,357,PDB,1.0,1,1
243,d2p3ra3,sample_1,88.31305128205128,0.8161423149596579,0.6263943129619829,0.9365079365079364,87,70,95,252,PDB,1.0,1,1
257,d2octa,sample_8,59.23794156706507,12.943953110513538,10.169148338196724,0.9278350515463918,18,32,47,97,PDB,1.0,0,0
265,d1n99a1,sample_1,89.43172240802676,0.4682991337412899,0.3858477942348647,0.9878048780487804,13,32,37,82,PDB,1.0,1,1
283,d2hxva1,sample_10,86.21659312134976,0.6807660768658916,0.495257046129772,0.9191919191919192,40,61,97,198,PDB,1.0,1,1
290,d1zsoa1,sample_8,64.59174787316319,2.2559554693880353,1.607696212446667,0.9423076923076924,3,87,66,156,PDB,1.0,0,0
304,d6itka2,sample_6,86.38246456692914,0.8375888019136252,0.6452701163159498,0.9642857142857144,85,27,56,168,PDB,1.0,1,1
