,Unnamed: 0.1,Unnamed: 0,con,dgram_cce,exp_res,fape,hard,helix,i_ptm,loss,models,pae,plddt,ptm,recycles,seq_ent,seqid,soft,temp,rmsd_io,tm_i,tm_o,tm_io,composite,names,data
HBI_b_01,0,0,2.763108253479004,2.331881523132324,0.0611286200582981,0.385739266872406,1.0,2.526095151901245,0.0,2.331881523132324,[0],6.641240894794464,0.7844812870025635,0.4781947135925293,1,162.7764129638672,1.0,0.0,1.0,1.6257293224334717,1.0,0.7967,0.7967,0.2988698986311339,1998469_0000,WSB
HBI_b_02,1,1,2.0567257404327397,2.045361042022705,0.0415804237127304,0.3339713513851166,1.0,4.82209062576294,0.0,2.045361042022705,[0],3.8761659264564514,0.9011006727814674,0.710229754447937,1,189.90582275390625,1.0,0.0,1.0,1.3984369039535522,1.0,0.8878,0.8878,0.5681817987895453,1998520_0002,WSB
HBI_b_03,2,2,2.594364643096924,2.160125494003296,0.0376705154776573,0.4349066019058227,1.0,3.5937421321868896,0.0,2.160125494003296,[0],6.750697553157806,0.7910953760147095,0.5632872581481934,1,217.03521728515625,1.0,0.0,1.0,1.5902732610702517,1.0,0.8384,0.8384,0.3736027317303309,1998555_1041,WSB
HBI_b_04,3,3,2.511543273925781,2.332833766937256,0.0366276241838932,0.3823389708995819,1.0,3.2237887382507324,0.0,2.332833766937256,[0],5.91928805410862,0.8195623457431793,0.5250914096832275,1,176.3411102294922,1.0,0.0,1.0,1.74697744846344,1.0,0.7857,0.7857,0.338122182351134,2000240_0002,WSB
HBI_b_07,4,4,2.8012373447418213,2.5299081802368164,0.049944307655096,0.5958982110023499,1.0,3.9181911945343018,0.0,2.5299081802368164,[0],10.831223964691162,0.6154224872589111,0.4286274313926697,1,230.59991455078125,1.0,0.0,1.0,3.8644049167633057,1.0,0.5415,0.5415,0.1428406388048431,2000485_1070,WSB
HBI_b_08,5,5,2.465914964675904,1.9169058799743648,0.023927541449666,0.4082827270030975,1.0,3.5497303009033203,0.0,1.9169058799743648,[0],6.70461805164814,0.7945858389139175,0.6161297559738159,1,244.16461181640625,1.0,0.0,1.0,2.24772572517395,1.0,0.8326,0.8326,0.4076142993406126,2000518_0000,WSB
HBI_b_09,6,6,2.088399887084961,1.7286583185195925,0.0200213305652141,0.2930134832859039,1.0,3.803766965866089,0.0,1.7286583185195925,[0],5.212862730026245,0.847992792725563,0.6795929670333862,1,244.16461181640625,1.0,0.0,1.0,0.9607970714569092,1.0,0.9394,0.9394,0.5413667677865963,2000518_0003,WSB
HBI_b_10,7,7,2.8600244522094727,2.5339481830596924,0.0263690166175365,0.5525801777839661,1.0,2.3393678665161133,0.0,2.5339481830596924,[0],9.056612759828568,0.6780508160591125,0.4850551784038543,1,244.16461181640625,1.0,0.0,1.0,2.2832093238830566,1.0,0.7532,0.7532,0.2477214992533853,2000665_1003,WSB
HBI_b_13,8,8,2.339704990386963,2.274437665939331,0.0214707590639591,0.308524876832962,1.0,3.4911820888519287,0.0,2.274437665939331,[0],4.684595495462418,0.8611344546079636,0.6088024377822876,1,162.7764129638672,1.0,0.0,1.0,1.3296971321105957,1.0,0.8378,0.8378,0.439225660726373,2001044_0000,WSB
HBI_b_14,9,9,2.1356201171875,2.032320261001587,0.0166100580245256,0.2680128812789917,1.0,6.133331775665283,0.0,2.032320261001587,[0],5.8151131719350815,0.8041986227035522,0.5876500606536865,1,189.90582275390625,1.0,0.0,1.0,0.8592707514762878,1.0,0.9282,0.9282,0.438655596285762,2002089_0001,WSB
