,prot,filename,plddt,rmsd,wrmsd,type,rmsd_rank,designable,designable_w
0,AF-A0A6U0TD43-F1,sample_6,88.8629120323559,0.6179358639503804,0.4025744320887137,AFDB (light),1.0,1,1
11,AF-A0A345PE11-F1,sample_6,85.29686505598113,0.7312794061367338,0.5516169870169377,AFDB (light),1.0,1,1
31,AF-A0A6I9MHL3-F1,sample_8,79.26613571428571,2.194223053857975,0.9265006320367216,AFDB (light),1.0,0,1
34,AF-A0A0R2LA81-F1,sample_7,87.27715265866209,0.643240076131117,0.4330163197881215,AFDB (light),1.0,1,1
53,AF-A0A2V8T1Z1-F1,sample_9,80.27974506054812,3.3582018932790443,3.092996124725534,AFDB (light),1.0,0,0
56,AF-A0A0C1R4G5-F1,sample_7,85.931812749004,0.5306110839773747,0.4307958029053149,AFDB (light),1.0,1,1
72,AF-A0A7C6W452-F1,sample_2,81.4333730454207,1.398832838930325,0.7822490917213162,AFDB (light),1.0,1,1
78,AF-A0A428NQI2-F1,sample_7,91.09007135575943,1.6535440855966366,1.0627670516058698,AFDB (light),1.0,1,1
93,AF-A0A838E030-F1,sample_3,90.37147182114578,6.991008503257271,5.897561521896112,AFDB (light),1.0,0,0
102,AF-A0A6A7M127-F1,sample_4,71.91780864197531,4.771369677728282,3.477125124966018,AFDB (light),1.0,0,0
115,AF-A0A221K8B8-F1,sample_3,68.36836892052195,2.4288396361209483,1.2957680441031785,AFDB (light),1.0,0,0
121,AF-A0A7V2G525-F1,sample_6,79.17305668016193,1.8502386651418816,1.26693055760474,AFDB (light),1.0,1,1
130,AF-A0A135V0V6-F1,sample_6,72.03588089330025,3.704071184797991,1.25135987029456,AFDB (light),1.0,0,1
149,AF-A0A820ZVR3-F1,sample_10,85.08457516339868,0.5583676895137859,0.4648308183504788,AFDB (light),1.0,1,1
153,AF-A0A7J9CV56-F1,sample_7,75.57867132867133,3.0440453810789,1.7770095413383666,AFDB (light),1.0,0,1
168,AF-A0A7X6AAV1-F1,sample_2,89.87468487394959,0.4480741585214901,0.3411847027444085,AFDB (light),1.0,1,1
173,AF-A0A2T3KMI7-F1,sample_7,79.28133132530121,3.0411934588999556,0.6776978092506863,AFDB (light),1.0,0,1
190,AF-A0A7X5JAI2-F1,sample_2,93.4426094890511,0.3151367569286313,0.2920569713541208,AFDB (light),1.0,1,1
195,AF-A0A0F9PAI8-F1,sample_7,76.89017722878626,3.745755934629552,1.3565843022911357,AFDB (light),1.0,0,1
213,AF-A0A3N5ZN12-F1,sample_9,90.68578606158832,0.3391853141247503,0.2662026192754329,AFDB (light),1.0,1,1
226,AF-F5RC40-F1,sample_8,84.62197166469893,1.0411865248382868,0.5316901160697319,AFDB (light),1.0,1,1
230,AF-A0A497AF59-F1,sample_4,87.60745989304813,0.9493935412877708,0.8872514689340321,AFDB (light),1.0,1,1
242,AF-A0A7Y5SVZ0-F1,sample_1,89.55720569210867,0.6925219033065841,0.3163022044783327,AFDB (light),1.0,1,1
252,AF-A0A4Y2VCK1-F1,sample_4,74.76727646454265,6.024722932057826,4.818786869172326,AFDB (light),1.0,0,0
260,AF-A0A7W0U5F9-F1,sample_6,84.01542372881357,0.7202140413310342,0.485965637109528,AFDB (light),1.0,1,1
271,AF-A0A6A9SZ92-F1,sample_6,90.68417091836734,0.9500895690131508,0.6950914788649737,AFDB (light),1.0,1,1
284,AF-A0A7X1AZC1-F1,sample_5,80.4437962962963,3.3347588183261054,0.7983121202067449,AFDB (light),1.0,0,1
294,AF-A0A853HSY1-F1,sample_7,80.92468302658487,0.9128009035587648,0.813516695510502,AFDB (light),1.0,1,1
304,AF-A0A7C8ZJ94-F1,sample_6,76.36724489795918,2.7126382637236786,0.6812937352256699,AFDB (light),1.0,0,1
318,AF-A0A5N6FPT5-F1,sample_4,64.26222893707785,4.246939466216147,1.7776675048747033,AFDB (light),1.0,0,0
335,AF-A0A317KV09-F1,sample_9,76.42063043478261,1.973715888871493,0.6701986769531791,AFDB (light),1.0,1,1
346,AF-A0A7V3FV12-F1,sample_8,84.38148972602738,0.985186841354317,0.3928599751697809,AFDB (light),1.0,1,1
349,AF-A0A7W8SFJ8-F1,sample_7,84.2410648148148,3.3336696214859827,2.683831912922322,AFDB (light),1.0,0,0
361,AF-A0A837WJD0-F1,sample_5,85.13240703177821,0.5400692010349071,0.3768034168804278,AFDB (light),1.0,1,1
375,AF-A0A3D3YVB8-F1,sample_3,82.88661716171617,0.6264900330356461,0.4239738441638432,AFDB (light),1.0,1,1
389,AF-A0A177WWJ0-F1,sample_8,68.56188323917138,2.6666437010856687,1.7961906589608434,AFDB (light),1.0,0,0
390,AF-A0A2U8BS00-F1,sample_6,89.29319895968791,0.3973210917650592,0.3627555134899778,AFDB (light),1.0,1,1
408,AF-A0A523S281-F1,sample_2,80.9754387755102,1.1219043414595002,0.6345465570015774,AFDB (light),1.0,1,1
421,AF-A0A5B0QAY0-F1,sample_9,88.43277861445785,13.1196833543996,13.781133531646043,AFDB (light),1.0,0,0
425,AF-A0A7S4C0G0-F1,sample_5,83.40684884293451,8.446101874236984,0.5277681405230022,AFDB (light),1.0,0,1
440,AF-R7HF73-F1,sample_2,86.6873987206823,0.4997498300162517,0.4638263620935714,AFDB (light),1.0,1,1
454,AF-A0A3S7DDF3-F1,sample_9,81.51033500837521,0.7771344587964287,0.3191635290383625,AFDB (light),1.0,1,1
461,AF-A0A127QCK3-F1,sample_1,70.83440677966101,4.61649295356312,3.5500623177783046,AFDB (light),1.0,0,0
467,AF-A0A3S0V843-F1,sample_5,87.38241525423729,0.8471849058264338,0.3008481846905191,AFDB (light),1.0,1,1
476,AF-A0A166MNI7-F1,sample_6,86.30269276393831,0.4185541806872891,0.3957982847976418,AFDB (light),1.0,1,1
488,AF-A0A6C0DQQ0-F1,sample_7,84.885692,0.695947803655413,0.5336798513576736,AFDB (light),1.0,1,1
503,AF-A0A3M1JDU4-F1,sample_3,80.57946444249342,1.391122876406139,0.8779759752352565,AFDB (light),1.0,1,1
515,AF-A0A401SMI2-F1,sample_3,77.51921828908554,4.896324797266247,4.4520603394129425,AFDB (light),1.0,0,0
521,AF-A0A7C2L3Y5-F1,sample_7,92.65543989254536,0.9161172087702374,0.4891968260101222,AFDB (light),1.0,1,1
531,AF-A0A2S6RHM0-F1,sample_6,83.89240336134453,1.220225063950385,0.4169629954771405,AFDB (light),1.0,1,1
548,AF-A0A1G9YAS2-F1,sample_3,64.68998883928572,9.2834824509395,6.601923681343926,AFDB (light),1.0,0,0
559,AF-A0A1C0ARC2-F1,sample_2,62.476886657101865,7.166958362438319,5.613070395505079,AFDB (light),1.0,0,0
569,AF-A0A0K0FG29-F1,sample_3,81.53146198830409,0.4186052664842583,0.3397053782826534,AFDB (light),1.0,1,1
580,AF-A0A4P5Z6W0-F1,sample_3,83.50920762286862,0.8032773998648546,0.4397028715186741,AFDB (light),1.0,1,1
591,AF-A0A1C4MAH6-F1,sample_1,69.275814479638,5.498877430435718,2.6829048848763657,AFDB (light),1.0,0,0
602,AF-A0A412M8W5-F1,sample_3,46.92945578231292,7.036044657506796,5.825783097511337,AFDB (light),1.0,0,0
614,AF-A0A561HGX0-F1,sample_2,67.54394415357767,1.9727933383333855,1.0809815696914828,AFDB (light),1.0,0,0
628,AF-C9L798-F1,sample_9,80.09763636363637,0.9256597003916236,0.5495475124888746,AFDB (light),1.0,1,1
634,AF-A0A497EKP8-F1,sample_1,86.67024623803009,0.6733318512236108,0.5849731594921098,AFDB (light),1.0,1,1
651,AF-A0A7I7Q632-F1,sample_8,87.91813508064517,0.638224559505501,0.4533853877660904,AFDB (light),1.0,1,1
652,AF-A0A2T7PW79-F1,sample_6,70.5656814159292,1.2998880472769867,1.1029084121824313,AFDB (light),1.0,1,1
