,path,plddt
0,bbarrel/with_template_48recyc/colab_att/TMB2.43_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,86.79
1,bbarrel/with_template_48recyc/colab_att/TMB2.69_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,84.3
2,bbarrel/with_template_48recyc/colab_att/TMB2.52_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,33.39
3,bbarrel/with_template_48recyc/colab_att/TMB2.47_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,95.35
4,bbarrel/with_template_48recyc/colab_att/TMB2.48_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,32.49
5,bbarrel/with_template_48recyc/colab_att/TMB2.17_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,85.8
6,bbarrel/with_template_48recyc/colab_att/TMB2.81_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,32.28
7,bbarrel/with_template_48recyc/colab_att/TMB2.35_unrelaxed_rank_003_alphafold2_ptm_model_5_seed_000.pdb,89.33
8,bbarrel/with_template_48recyc/colab_att/TMB2.12_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,94.37
9,bbarrel/with_template_48recyc/colab_att/TMB2.70_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,85.98
10,bbarrel/with_template_48recyc/colab_att/TMB2.48_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,95.06
11,bbarrel/with_template_48recyc/colab_att/TMB2.2_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,35.98
12,bbarrel/with_template_48recyc/colab_att/TMB2.50_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,88.31
13,bbarrel/with_template_48recyc/colab_att/TMB2.30_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,94.29
14,bbarrel/with_template_48recyc/colab_att/TMB2.30_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,41.0
15,bbarrel/with_template_48recyc/colab_att/TMB2.62_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,96.29
16,bbarrel/with_template_48recyc/colab_att/TMB2.81_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,94.45
17,bbarrel/with_template_48recyc/colab_att/TMB2.51_unrelaxed_rank_004_alphafold2_ptm_model_3_seed_000.pdb,32.24
18,bbarrel/with_template_48recyc/colab_att/TMB2.26_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,93.32
19,bbarrel/with_template_48recyc/colab_att/TMB2.57_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,95.82
20,bbarrel/with_template_48recyc/colab_att/TMB2.32_unrelaxed_rank_004_alphafold2_ptm_model_4_seed_000.pdb,68.24
21,bbarrel/with_template_48recyc/colab_att/TMB2.82_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,88.14
22,bbarrel/with_template_48recyc/colab_att/TMB2.49_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,32.34
23,bbarrel/with_template_48recyc/colab_att/TMB2.6_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,88.19
24,bbarrel/with_template_48recyc/colab_att/TMB2.11_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,95.07
25,bbarrel/with_template_48recyc/colab_att/TMB2.32_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,94.38
26,bbarrel/with_template_48recyc/colab_att/TMB2.26_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,31.31
27,bbarrel/with_template_48recyc/colab_att/TMB2.64_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,32.97
28,bbarrel/with_template_48recyc/colab_att/TMB2.44_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,95.34
29,bbarrel/with_template_48recyc/colab_att/TMB2.45_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,87.53
30,bbarrel/with_template_48recyc/colab_att/TMB2.21_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_000.pdb,95.47
31,bbarrel/with_template_48recyc/colab_att/TMB2.67_unrelaxed_rank_001_alphafold2_ptm_model_2_seed_000.pdb,95.08
32,bbarrel/with_template_48recyc/colab_att/TMB2.17_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,91.3
33,bbarrel/with_template_48recyc/colab_att/TMB2.85_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,94.87
34,bbarrel/with_template_48recyc/colab_att/TMB2.14_unrelaxed_rank_005_alphafold2_ptm_model_5_seed_000.pdb,33.94
35,bbarrel/with_template_48recyc/colab_att/TMB2.59_unrelaxed_rank_004_alphafold2_ptm_model_5_seed_000.pdb,78.9
36,bbarrel/with_template_48recyc/colab_att/TMB2.64_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,80.76
37,bbarrel/with_template_48recyc/colab_att/TMB2.24_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,77.39
38,bbarrel/with_template_48recyc/colab_att/TMB2.23_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,33.54
39,bbarrel/with_template_48recyc/colab_att/TMB2.9_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,31.59
40,bbarrel/with_template_48recyc/colab_att/TMB2.33_unrelaxed_rank_005_alphafold2_ptm_model_3_seed_000.pdb,31.68
41,bbarrel/with_template_48recyc/colab_att/TMB2.50_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,95.92
42,bbarrel/with_template_48recyc/colab_att/TMB2.56_unrelaxed_rank_003_alphafold2_ptm_model_4_seed_000.pdb,89.34
