pdb_name,length,header,tm_score,sc_rmsd,plddt,pct_helix,pct_strand,pct_coil,scrmsd_des,plddt_des,tm_plddt_des
1wyj,112,native,0.5609152519634942,6.105234547233768,61.06,0.2053571428571428,0.3928571428571428,0.4017857142857143,False,False,False
2dxu,43,native,0.8498466476467099,0.8938890956361991,89.44,0.0697674418604651,0.5581395348837209,0.3720930232558139,True,True,True
6m3b,42,native,0.3035993568854491,7.146112049685203,62.06,0.0,0.3571428571428571,0.6428571428571429,False,False,False
2xol,166,native,0.4212772891489108,15.191731324738354,47.21,0.7349397590361446,0.0,0.2650602409638554,False,False,False
1k94,165,native,0.519533298716537,6.012930417138117,59.24,0.5818181818181818,0.0666666666666666,0.3515151515151515,False,False,False
6np9,115,native,0.6953581266516377,4.338601859685101,60.6,0.0260869565217391,0.5043478260869565,0.4695652173913043,False,False,False
1wfo,117,native,0.7413793780467277,5.700312545365105,70.01,0.0,0.4358974358974359,0.5641025641025641,False,False,True
1cf7,67,native,0.4020178502354262,13.677341623803482,83.5,0.6865671641791045,0.1343283582089552,0.1791044776119403,False,False,False
2fcw,105,native,0.8819658126847693,2.871775671465572,91.14,0.8285714285714286,0.0,0.1714285714285714,False,False,True
1bg1,177,native,0.5148567721707142,15.50100178212087,62.16,0.8587570621468926,0.0,0.1412429378531073,False,False,False
2phn,248,native,0.2714093956068811,18.885498676211608,41.06,0.3225806451612903,0.125,0.5524193548387096,False,False,False
3nuh,168,native,0.5744793699503082,6.552877789717919,80.0,0.5238095238095238,0.1785714285714285,0.2976190476190476,False,False,True
2idr,177,native,0.328585019752668,12.682234739184963,36.13,0.1525423728813559,0.2429378531073446,0.6045197740112994,False,False,False
2nrh,74,native,0.397691183061572,9.2757340644995,46.59,0.1486486486486486,0.4459459459459459,0.4054054054054054,False,False,False
6np3,268,native,0.4025145050878375,15.137083423943157,49.1,0.458955223880597,0.1082089552238805,0.4328358208955223,False,False,False
1z2a,164,native,0.61593541347763,5.674533092442805,59.3,0.4512195121951219,0.1890243902439024,0.3597560975609756,False,False,False
4p5m,97,native,0.4289630572286014,7.313685395351435,60.15,0.0515463917525773,0.4329896907216495,0.5154639175257731,False,False,False
1mo9,121,native,0.6401021618387417,5.136734136017121,58.46,0.2148760330578512,0.3553719008264462,0.4297520661157025,False,False,False
1ua7,344,native,0.2918272427691212,21.166303254486262,41.72,0.2994186046511627,0.191860465116279,0.5087209302325582,False,False,False
2bop,85,native,0.4321250666329838,9.668644263005795,63.62,0.1176470588235294,0.3647058823529411,0.5176470588235295,False,False,False
2hah,112,native,0.3083962058067058,15.194501740636428,41.84,0.0,0.5178571428571429,0.4821428571428571,False,False,False
5yh4,179,native,0.3975930884139743,13.376132593477278,40.39,0.0335195530726257,0.3910614525139664,0.5754189944134078,False,False,False
3q90,121,native,0.2738350064379427,13.490021424313737,36.37,0.2314049586776859,0.0991735537190082,0.6694214876033058,False,False,False
2o8p,220,native,0.6850634721301601,7.914375868935503,74.52,0.7954545454545454,0.0,0.2045454545454545,False,False,True
1jnr,141,native,0.3447484687354812,16.113429952388856,51.3,0.6028368794326241,0.1134751773049645,0.2836879432624113,False,False,False
3vfi,104,native,0.4504135413765806,8.653241541320174,60.98,0.5576923076923077,0.1442307692307692,0.2980769230769231,False,False,False
7bl4,102,native,0.8106363002817967,2.678752681230833,80.02,0.4313725490196078,0.2745098039215686,0.2941176470588235,False,False,True
2p7j,93,native,0.3155184239130179,9.693607758904015,48.29,0.1827956989247312,0.2150537634408602,0.6021505376344086,False,False,False
3sre,329,native,0.3027854947050646,22.55997588444393,46.18,0.0790273556231003,0.3799392097264438,0.541033434650456,False,False,False
1k1g,122,native,0.5564436551447561,6.446029398429857,72.55,0.4344262295081967,0.2049180327868852,0.360655737704918,False,False,True
1ujo,131,native,0.3009976411800008,12.218616141054834,55.83,0.3282442748091603,0.1984732824427481,0.4732824427480916,False,False,False
2i49,398,native,0.2347311333067577,23.8623864925959,49.22,0.3819095477386934,0.14321608040201,0.4748743718592965,False,False,False
3n1f,94,native,0.9316689510536206,1.0412891796727832,88.73,0.0319148936170212,0.5425531914893617,0.425531914893617,True,True,True
1wdv,150,native,0.3356891035372024,11.673874035474649,36.81,0.2133333333333333,0.2066666666666666,0.58,False,False,False
3vzx,227,native,0.3675252090901894,16.458354764268748,49.47,0.3700440528634361,0.1101321585903083,0.5198237885462555,False,False,False
3h7t,235,native,0.4387195960851988,11.725456434233475,38.35,0.1829787234042553,0.3234042553191489,0.4936170212765957,False,False,False
5my6,166,native,0.6273310749325853,6.175291338314111,54.78,0.1265060240963855,0.2771084337349397,0.5963855421686747,False,False,False
1kwg,197,native,0.459136989858758,12.431763391831051,50.32,0.2893401015228426,0.1472081218274111,0.5634517766497462,False,False,False
5ee0,280,native,0.2574333214616047,24.11574963321717,44.51,0.5107142857142857,0.175,0.3142857142857143,False,False,False
2qkg,210,native,0.24604795364193,20.16562160552824,38.14,0.1904761904761904,0.2904761904761905,0.5190476190476191,False,False,False
2h84,214,native,0.3234834762129056,15.5734540082088,36.65,0.3271028037383177,0.1214953271028037,0.5514018691588785,False,False,False
4xkb,74,native,0.3451650024078756,11.991109049304306,60.73,0.7972972972972973,0.0,0.2027027027027027,False,False,False
5wl1,180,native,0.4031019758194862,9.692469111247938,54.08,0.5166666666666667,0.1277777777777777,0.3555555555555555,False,False,False
4rm4,364,native,0.3722939640496457,15.058159536967644,46.73,0.5906593406593407,0.0219780219780219,0.3873626373626374,False,False,False
5tea,173,native,0.3845749086255485,14.319071403388191,41.86,0.3005780346820809,0.1618497109826589,0.5375722543352601,False,False,False
5hsg,285,native,0.3666898156671438,18.7092599507437,47.06,0.4912280701754385,0.0982456140350877,0.4105263157894737,False,False,False
1tpg,50,native,0.7082983884198313,1.7036950204071022,87.81,0.0,0.54,0.46,True,True,True
1xq4,123,native,0.8616950268113932,1.697617489799531,82.38,0.048780487804878,0.5772357723577236,0.3739837398373983,True,True,True
3sao,146,native,0.8549878828303095,1.9253744403028812,66.04,0.1301369863013698,0.4931506849315068,0.3767123287671233,True,False,False
2xvm,197,native,0.2693903149427104,17.562631451623638,33.19,0.0913705583756345,0.2131979695431472,0.6954314720812182,False,False,False
2qdd,241,native,0.4703703175949111,15.56578185520954,51.69,0.3775933609958506,0.1867219917012448,0.4356846473029045,False,False,False
1j8u,307,native,0.4282112615129649,14.762926335310508,50.55,0.5276872964169381,0.0781758957654723,0.3941368078175896,False,False,False
4nbp,129,native,0.3005402726157788,14.376529164393377,59.35,0.2093023255813953,0.4651162790697674,0.3255813953488372,False,False,False
1wzl,382,native,0.504427025632868,14.112522422691288,49.6,0.4607329842931937,0.0759162303664921,0.4633507853403141,False,False,False
2zad,221,native,0.4933803064564248,13.004176595679056,52.71,0.1990950226244343,0.2986425339366516,0.502262443438914,False,False,False
2cs4,82,native,0.5851668977925752,4.909307290539833,68.38,0.3292682926829268,0.3658536585365853,0.3048780487804878,False,False,False
3kmu,267,native,0.3342043977710776,14.434916889731506,37.41,0.49812734082397,0.1385767790262172,0.3632958801498127,False,False,False
1fs1,61,native,0.7767450915767123,1.9202205928317968,78.42,0.4590163934426229,0.2295081967213114,0.3114754098360656,True,True,True
3s6w,52,native,0.9388275032780036,0.5581144815540854,93.07,0.0576923076923076,0.5576923076923077,0.3846153846153846,True,True,True
4dxh,176,native,0.352853183237423,12.661102856673436,33.86,0.2386363636363636,0.1363636363636363,0.625,False,False,False
1jos,100,native,0.650688402440688,3.356672929025286,81.47,0.44,0.31,0.25,False,False,True
2aeu,366,native,0.3843199731881846,17.03846711457037,44.46,0.4043715846994535,0.1584699453551912,0.4371584699453552,False,False,False
1gwe,498,native,0.2570499800441514,27.54081211486072,32.9,0.1907630522088353,0.0943775100401606,0.714859437751004,False,False,False
1v74,87,native,0.3822366776514643,9.997837468105956,52.76,0.6091954022988506,0.0919540229885057,0.2988505747126437,False,False,False
1v1h,74,native,0.4159037141928751,9.214010938635646,71.21,0.0,0.1621621621621621,0.8378378378378378,False,False,False
6rvq,197,native,0.4666659006268852,15.34835573106335,54.34,0.467005076142132,0.1624365482233502,0.3705583756345177,False,False,False
1snn,219,native,0.2737133789256002,18.55652493954668,46.32,0.4383561643835616,0.1141552511415525,0.4474885844748858,False,False,False
4xxb,42,native,0.2423980652107079,10.63888877555588,68.85,0.4761904761904761,0.0,0.5238095238095238,False,False,False
